1,亜,ア アシア,a ashia,つぐ,tsugu,Asia; rank next; come after; -ous;,1,ア アシア…つぐ,…
2,阿,ア オ,a o,おもねる,omoneru ,Africa; flatter; fawn upon; corner; nook; recess;,1,ア オ…おもねる,
3,哀,アイ,ai,あわれ あわれむ かなしい,aware awaremu kanashii ,pathetic; grief; sorrow; pathos; pity; sympathize;,1,アイ…あわれ あわれむ かなしい,
4,愛,アイ,ai,いとしい,itoshii ,love; affection; favourite;,2,アイ…いとしい,
5,葵,キ,ki,あおい,aoi ,hollyhock;,1,キ…あおい,
6,茜,セン,sen,あかね,akane ,madder; red dye; Turkey red;,1,セン…あかね,
7,悪,アク オ,aku o,わるい わる- あし にくい ああ いずくに いずくんぞ にくむ,warui waru ashi nikui aa izukuni izukunzo nikumu ,bad; vice; rascal; false; evil; wrong;,3,アク オ…わるい わる- あし にくい ああ いずくに いずくんぞ にくむ,
8,握,アク,aku,にぎる,nigiru ,grip; hold; mould sushi; bribe;,1,アク…にぎる,
9,渥,アク,aku,あつい うるおう,atsui uruou ,kindness;,1,アク…あつい うるおう,
10,旭,キョク,kyoku,あさひ,asahi ,rising sun; morning sun;,1,キョク…あさひ,
11,梓,シ,shi,あずさ,azusa ,catalpa tree;,1,シ…あずさ,
12,圧,アツ エン オウ,atsu en ou,おす へす おさえる,osu hesu osaeru ,pressure; push; overwhelm; oppress; dominate;,2,アツ エン オウ…おす へす おさえる,
13,扱,ショウ,syou,あつかる あつかい あつかう,atsukaru atsukai atsukau ,handle; entertain; thresh; strip;,1,ショウ…あつかる あつかい あつかう,
14,宛,エン,en,あてる あたかも,ateru atakamo ,address; just like; fortunately;,1,エン…あてる あたかも,
15,絢,ケン,ken,,,kimono design;,1,ケン…,
16,綾,リン,rin,あや,aya ,design; figured cloth; twill;,1,リン…あや,
17,鮎,デン ネン,den nen,あゆ なまず,ayu namazu ,freshwater trout; smelt;,1,デン ネン…あゆ なまず,
18,安,アン,an,やすい やすまる やす やすらか,yasui yasumaru yasu yasuraka ,relax; cheap; low; quiet; rested; contented; peaceful;,3,アン…やすい やすまる やす やすらか,
19,暗,アン,an,くらい,kurai ,darkness; disappear; shade; informal; grow dark; be blinded;,2,アン…くらい,
20,案,アン,an,,,plan; suggestion; draft; ponder; fear; proposition; idea; expectation; bill; worry;,1,アン…,
21,杏,キョウ アン コウ,kyou an kou,あんず,anzu ,apricot;,1,キョウ アン コウ…あんず,
22,以,イ,i,もって,mote ,by means of; because; in view of; compared with;,3,イ…もって,
23,伊,イ,i,かれ,kare ,Italy; that one;,1,イ…かれ,
24,位,イ,i,くらい ぐらい,kurai gurai ,rank; grade; throne; crown; about; some;,2,イ…くらい ぐらい,
25,依,イ エ,i e,よる,yoru ,reliant; depend on; consequently; therefore; due to;,2,イ エ…よる,
26,偉,イ,i,えらい,erai ,admirable; greatness; remarkable; conceited; famous; excellent;,2,イ…えらい,
27,囲,イ,i,かこむ かこう かこい,kakomu kakou kakoi ,surround; besiege; store; paling; enclosure; encircle; preserve; keep;,2,イ…かこむ かこう かこい,
28,委,イ,i,ゆだねる,yudaneru ,committee; entrust to; leave to; devote; discard;,2,イ…ゆだねる,
29,威,イ,i,おどす おどし おどかす,odosu odoshi odokasu ,intimidate; dignity; majesty; menace; threaten;,1,イ…おどす おどし おどかす,
30,尉,イ ジョウ,i zyou,,,military officer; jailer; old man; rank;,1,イ ジョウ…,
